//Command for this
//taup_pierce -mod prem -h 30 -evt 45 178 -sta 22 91 -ph PKiKP > piercePKiKP.txt
> PKiKP at  1043.12 seconds at    72.59 degrees for a     30.0 km deep source in the prem model with rayParam    1.446 s/deg.
    0.00    30.0     0.0     45.00    178.00
    0.19   220.0    23.7     45.04    177.74
    0.39   400.0    44.5     45.09    177.46
    0.76   670.0    72.4     45.18    176.95
    7.75  2891.0   256.2     46.36    167.07
   36.28  5149.5   519.2     42.15    127.23
   64.82  2891.0   782.3     27.10     97.46
   71.80   670.0   966.1     22.53     91.63
   72.18   400.0   994.0     22.28     91.33
   72.38   220.0  1014.7     22.14     91.17
   72.57    30.0  1038.5     22.02     91.02
   72.57    24.4  1039.2     22.01     91.01
   72.58    15.0  1040.5     22.01     91.01
   72.59     0.0  1043.1     22.00     91.00
