> SKS at  1293.14 seconds at    75.85 degrees for a    111.6 km deep source in the iasp91 model with rayParam    7.278 s/deg.
    0.00   111.6     0.0     36.69    178.40
    0.29   210.0    22.9     36.81    178.07
    0.93   410.0    67.9     37.06    177.33
    1.95   660.0   118.7     37.45    176.15
   28.25  2889.0   561.2     42.78    142.23
   37.78  2972.1   632.5     42.08    129.34
   47.31  2889.0   703.8     39.98    117.00
   73.61   660.0  1146.4     28.59     88.10
   74.62   410.0  1197.1     28.03     87.14
   75.27   210.0  1242.1     27.67     86.53
   75.56   111.6  1265.0     27.50     86.26
   75.78    35.0  1282.9     27.38     86.06
   75.81    20.0  1287.0     27.36     86.03
   75.85     0.0  1293.1     27.34     85.99
> SKS at  1224.54 seconds at    65.45 degrees for a     68.1 km deep source in the iasp91 model with rayParam    7.581 s/deg.
    0.00    68.1     0.0     22.35    158.94
    0.43   210.0    33.2     22.50    158.50
    1.11   410.0    78.4     22.74    157.82
    2.17   660.0   129.5     23.11    156.74
   31.21  2889.0   592.4     29.79    125.06
   32.64  2890.9   603.3     29.92    123.42
   34.06  2889.0   614.1     30.04    121.78
   63.10   660.0  1077.0     27.87     88.57
   64.16   410.0  1128.1     27.63     87.40
   64.84   210.0  1173.3     27.48     86.65
   65.27    68.1  1206.5     27.38     86.18
   65.37    35.0  1214.3     27.36     86.08
   65.40    20.0  1218.4     27.35     86.04
   65.45     0.0  1224.5     27.34     85.99
> SKS at  1547.15 seconds at   128.26 degrees for a    122.0 km deep source in the iasp91 model with rayParam    2.953 s/deg.
    0.00   122.0     0.0     18.25    -68.77
    0.10   210.0    19.7     18.34    -68.72
    0.35   410.0    62.6     18.56    -68.59
    0.73   660.0   110.1     18.89    -68.40
    8.51  2889.0   451.2     25.64    -64.23
   64.07  4669.5   758.8     62.26     -0.01
  119.63  2889.0  1066.4     34.63     80.59
  127.40   660.0  1407.5     28.08     85.49
  127.78   410.0  1454.9     27.75     85.71
  128.03   210.0  1497.9     27.53     85.86
  128.14   122.0  1517.6     27.45     85.92
  128.23    35.0  1537.1     27.37     85.97
  128.25    20.0  1541.2     27.35     85.98
  128.26     0.0  1547.1     27.34     85.99
