> SKS at  1293.16 seconds at    75.97 degrees for a    111.6 km deep source in the prem model with rayParam    7.189 s/deg.
    0.00   111.6     0.0     36.39    178.40
    0.31   220.0    25.6     36.51    178.05
    0.88   400.0    65.9     36.74    177.39
    1.96   670.0   120.9     37.16    176.16
   27.55  2891.0   556.5     42.56    143.33
   37.84  2986.0   632.7     41.91    129.45
   48.12  2891.0   709.0     39.65    116.19
   73.72   670.0  1144.6     28.58     88.11
   74.80   400.0  1199.6     27.99     87.09
   75.37   220.0  1239.9     27.68     86.55
   75.68   111.6  1265.5     27.50     86.26
   75.92    24.4  1285.9     27.37     86.04
   75.94    15.0  1288.3     27.36     86.02
   75.97     0.0  1293.1     27.34     85.99
> SKS at  1224.54 seconds at    65.45 degrees for a     68.1 km deep source in the prem model with rayParam    7.517 s/deg.
    0.00    68.1     0.0     22.35    158.94
    0.45   220.0    35.9     22.51    158.48
    1.06   400.0    76.5     22.72    157.87
    2.19   670.0   131.9     23.12    156.72
   30.63  2891.0   588.4     29.73    125.73
   32.63  2894.7   603.5     29.92    123.42
   34.64  2891.0   618.6     30.07    121.11
   63.08   670.0  1075.1     27.87     88.59
   64.21   400.0  1130.5     27.62     87.35
   64.82   220.0  1171.1     27.49     86.68
   65.27    68.1  1207.0     27.38     86.19
   65.39    24.4  1217.2     27.35     86.05
   65.42    15.0  1219.7     27.35     86.02
   65.45     0.0  1224.5     27.34     85.99
> SKS at  1547.66 seconds at   128.26 degrees for a    122.0 km deep source in the prem model with rayParam    2.915 s/deg.
    0.00   122.0     0.0     18.25    -68.77
    0.11   220.0    22.3     18.35    -68.71
    0.33   400.0    60.8     18.54    -68.60
    0.74   670.0   112.4     18.90    -68.39
    8.41  2891.0   451.4     25.56    -64.28
   64.07  4689.6   759.3     62.26     -0.01
  119.72  2891.0  1067.1     34.55     80.65
  127.40   670.0  1406.2     28.08     85.48
  127.80   400.0  1457.7     27.73     85.72
  128.03   220.0  1496.3     27.54     85.85
  128.14   122.0  1518.5     27.45     85.92
  128.24    24.4  1540.5     27.36     85.98
  128.25    15.0  1543.0     27.35     85.98
  128.26     0.0  1547.7     27.34     85.99
